PRECIO,FECHA
1.36500,05-06-2012
1.36000,04-06-2012
1.34000,01-06-2012
1.36000,31-05-2012
1.39500,30-05-2012
1.41000,29-05-2012
1.41500,28-05-2012
1.42500,25-05-2012
1.43500,24-05-2012
1.46500,23-05-2012
1.49500,22-05-2012
1.49500,21-05-2012
1.43500,18-05-2012
1.50000,17-05-2012
1.52000,16-05-2012
1.57000,15-05-2012
1.60000,14-05-2012
1.61500,11-05-2012
1.61500,10-05-2012
1.55000,09-05-2012
1.62500,08-05-2012
1.77500,07-05-2012
1.73000,04-05-2012
1.75000,03-05-2012
1.76500,02-05-2012
1.77500,30-04-2012
1.74000,27-04-2012
1.67000,26-04-2012
1.60000,25-04-2012
1.51500,24-04-2012
1.48000,23-04-2012
1.54500,20-04-2012
1.55000,19-04-2012
1.60000,18-04-2012
1.70000,17-04-2012
1.66000,16-04-2012
1.71500,13-04-2012
1.70000,12-04-2012
1.71500,11-04-2012
1.70500,10-04-2012
1.78500,05-04-2012
1.81000,04-04-2012
1.84500,03-04-2012
1.84000,02-04-2012
1.86500,30-03-2012
1.88000,29-03-2012
1.89500,28-03-2012
1.93000,27-03-2012
1.95000,26-03-2012
1.94000,23-03-2012
1.94000,22-03-2012
1.95500,21-03-2012
1.96000,20-03-2012
1.98000,19-03-2012
1.98500,16-03-2012
1.93500,15-03-2012
1.93500,14-03-2012
1.95000,13-03-2012
1.95000,12-03-2012
1.95000,09-03-2012
1.91500,08-03-2012
1.90000,07-03-2012
1.91000,06-03-2012
1.95000,05-03-2012
2.00000,02-03-2012
1.98000,01-03-2012
1.96500,29-02-2012
1.96500,28-02-2012
1.96500,27-02-2012
1.98500,24-02-2012
1.96000,23-02-2012
1.99500,22-02-2012
2.01000,21-02-2012
1.98500,20-02-2012
1.92000,17-02-2012
1.95500,16-02-2012
2.02500,15-02-2012
2.03000,14-02-2012
2.02500,13-02-2012
2.02500,10-02-2012
2.08500,09-02-2012
2.06500,08-02-2012
2.02500,07-02-2012
2.00000,06-02-2012
