PRECIO,FECHA
2.31500,12-09-2016
2.38500,09-09-2016
2.43000,08-09-2016
2.43000,07-09-2016
2.39000,06-09-2016
2.36500,05-09-2016
2.34000,02-09-2016
2.30500,01-09-2016
2.27000,31-08-2016
2.30500,30-08-2016
2.27000,29-08-2016
2.34500,26-08-2016
2.24500,25-08-2016
2.31500,24-08-2016
2.20000,23-08-2016
2.15500,22-08-2016
2.18000,19-08-2016
2.22000,18-08-2016
2.20000,17-08-2016
2.22500,16-08-2016
2.22500,15-08-2016
2.22000,12-08-2016
2.21000,11-08-2016
2.24000,10-08-2016
2.24000,09-08-2016
2.24000,08-08-2016
2.22500,05-08-2016
2.18500,04-08-2016
2.14500,03-08-2016
2.18500,02-08-2016
2.24000,01-08-2016
2.26000,29-07-2016
2.30000,28-07-2016
2.35000,27-07-2016
2.22000,26-07-2016
2.24000,25-07-2016
2.22000,22-07-2016
2.24000,21-07-2016
2.17500,20-07-2016
2.27000,19-07-2016
2.29500,18-07-2016
2.26000,15-07-2016
2.30000,14-07-2016
2.28000,13-07-2016
2.30000,12-07-2016
2.28000,11-07-2016
2.21500,08-07-2016
2.12500,07-07-2016
2.05000,06-07-2016
2.15000,05-07-2016
2.23000,04-07-2016
2.26500,01-07-2016
2.15000,30-06-2016
2.10000,29-06-2016
2.05000,28-06-2016
2.00500,27-06-2016
2.16000,24-06-2016
2.28000,23-06-2016
2.30000,22-06-2016
2.28500,21-06-2016
2.30000,20-06-2016
2.25000,17-06-2016
2.16000,16-06-2016
2.26500,15-06-2016
2.25000,14-06-2016
2.33000,13-06-2016
2.38500,10-06-2016
2.49000,09-06-2016
2.51000,08-06-2016
2.53000,07-06-2016
2.51000,06-06-2016
2.52000,03-06-2016
2.54000,02-06-2016
2.51000,01-06-2016
2.52000,31-05-2016
2.53000,30-05-2016
2.48000,27-05-2016
2.49000,26-05-2016
2.50000,25-05-2016
2.48000,24-05-2016
2.42000,23-05-2016
2.37500,20-05-2016
2.33500,19-05-2016
2.44000,18-05-2016
2.44000,17-05-2016
2.35000,16-05-2016
